Number,Mark,Grade,Gender,Age,PO,FFS,Fsupport,PocketMoney,Feeding,Distance,NegativeIH,QualityTeacher,TStR,NRoll, PVC,CondC,DYESM,SH,HODYDH,DYMS,ALM,ExtC,ExtraCA,Activity, NIOA
14,14,6,0,1,Driver,Low,Poor,2-5 cedis,2,Close,No,Average,Good,60,Yes,Yes,Yes,less than an hour,Regularly,Sometimes,Yes,No,No,,
15,14,6,0,2,Trader,M,Fair,2-5 cedis,2,Close,Maybe,Average,Excellent,55,Maybe,Maybe,Yes,1 hour,Regularly,Sometimes,No,No,Yes,Sports,No
16,14,6,0,1,Trader,M,Good,6-10 cedis,3,Close,No,Average,Excellent,60,Yes,Maybe,Yes,1 hour,Not at all,Sometimes,Yes,No,No,,
17,15,6,0,2,Driver,Low,Good,2-5 cedis,3,very Far,No,Excellent,Good,62,No,Yes,Maybe,less than an hour,Regularly,Not at all,Yes,No,Yes,Sports,Yes
18,15,6,1,1,Teacher,M,Good,6-10 cedis,2,Far,Yes,Excellent,Good,55,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,No,Yes,Sports,No
19,16,6,1,1,Trader,M,Good,2-5 cedis,2,Far,No,Excellent,Good,52,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,Yes,Yes,Sports,Yes
20,16,6,0,1,Teacher,M,Good,2-5 cedis,2,very Close,Yes,Excellent,Excellent,54,Yes,Yes,No,1 hour,Regularly,Sometimes,Yes,No,No,,
21,17,6,0,1,Trader,Low,Poor,11 cedis and above,2,Close,Yes,Excellent,Average,51,Maybe,Maybe,Maybe,2 hours and above,Irregularly,Often,Yes,Yes,No,,
22,17,6,0,1,Carpenter,Low,Good,2-5 cedis,2,Far,Maybe,Average,Average,61,No,Yes,Yes,less than an hour,Regularly,Not at all,No,No,No,,
23,17,6,0,2,Doctor,high,Fair,6-10 cedis,2,very Close,Yes,Excellent,Excellent,60,Yes,Yes,Yes,less than an hour,Irregularly,Sometimes,Yes,No,No,,
24,18,6,0,1,Trader,Low,Fair,2-5 cedis,2,very,No,Average,Excellent,60,Yes,Maybe,No,less than an hour,Regularly,Sometimes,Yes,No,Yes,Sports,No
25,18,6,0,1,Teacher,M,Good,6-10 cedis,3,very Far,Maybe,Excellent,Good,52,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,Yes,Yes,Sports,Yes
26,19,6,0,1,Driver,M,Good,6-10 cedis,3,Close,No,Average,Average,58,No,No,Yes,1 hour,Regularly,Not at all,Yes,No,Yes,Sports,Yes
27,19,6,0,2,Trader,Low,Poor,2-5 cedis,2,Close,Yes,Average,Average,54,Maybe,No,Maybe,2 hours and above,Not at all,Sometimes,No,No,No,,
28,20,6,0,2,Trader,M,Fair,6-10 cedis,2,Far,No,Poor,Poor,54,No,No,Maybe,less than an hour,Regularly,Sometimes,No,No,No,,
29,20,6,1,1,Trader,M,Good,6-10 cedis,1,Far,No,Excellent,Excellent,58,Yes,Yes,Yes,1 hour,Regularly,Sometimes,No,No,Yes,Sports,Yes
30,20,6,0,1,Farmer,M,Fair,6-10 cedis,2,Close,Yes,Excellent,Good,54,No,Yes,No,1 hour,Not at all,Often,No,No,No,,
31,20,6,0,2,Dress maker,M,Good,11 cedis and above,3,Far,No,Poor,Average,60,No,No,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
